iter	Passed	Remaining
0	439	439169
1	523	261316
2	572	190245
3	604	150506
4	636	126720
5	676	111999
6	707	100333
7	737	91464
8	766	84416
9	795	78783
10	825	74264
11	857	70588
12	891	67692
13	919	64763
14	945	62071
15	975	59964
16	1003	58027
17	1033	56409
18	1061	54794
19	1136	55693
20	1166	54378
21	1190	52926
22	1217	51735
23	1243	50568
24	1273	49682
25	1303	48820
26	1332	48011
27	1360	47212
28	1389	46536
29	1417	45836
30	1441	45043
31	1469	44450
32	1499	43954
33	1525	43355
34	1555	42882
35	1582	42367
36	1608	41871
37	1640	41519
38	1667	41090
39	1697	40744
40	1725	40352
41	1755	40033
42	1784	39710
43	1813	39398
44	1841	39071
45	1867	38737
46	1895	38429
47	1925	38194
48	1952	37886
49	1981	37652
50	2009	37385
51	2038	37164
52	2068	36954
53	2095	36718
54	2120	36431
55	2147	36205
56	2176	36003
57	2201	35757
58	2230	35576
59	2256	35351
60	2286	35193
61	2314	35016
62	2342	34832
63	2368	34643
64	2397	34486
65	2427	34357
66	2452	34155
67	2486	34077
68	2515	33941
69	2540	33757
70	2567	33596
71	2597	33476
72	2626	33358
73	2652	33187
74	2683	33097
75	2713	32989
76	2737	32811
77	2766	32698
78	2793	32570
79	2821	32445
80	2850	32345
81	2880	32243
82	2910	32158
83	2936	32021
84	2964	31908
85	2988	31757
86	3015	31648
87	3044	31554
88	3071	31440
89	3100	31353
90	3128	31250
91	3152	31115
92	3182	31041
93	3208	30924
94	3233	30801
95	3262	30723
96	3289	30620
97	3317	30533
98	3348	30471
99	3376	30387
100	3401	30278
101	3428	30180
102	3459	30125
103	3487	30046
104	3513	29948
105	3541	29867
106	3568	29781
107	3598	29722
108	3623	29621
109	3648	29521
110	3677	29452
111	3706	29390
112	3733	29305
113	3761	29237
114	3790	29172
115	3814	29071
116	3842	29002
117	3866	28902
118	3897	28853
119	3923	28772
120	3947	28678
121	3973	28595
122	3997	28499
123	4022	28416
124	4048	28339
125	4078	28287
126	4107	28233
127	4131	28143
128	4159	28081
129	4181	27983
130	4209	27923
131	4238	27871
132	4267	27819
133	4293	27750
134	4323	27702
135	4344	27599
136	4370	27529
137	4393	27442
138	4417	27363
139	4443	27292
140	4471	27241
141	4499	27185
142	4525	27123
143	4549	27042
144	4577	26992
145	4607	26949
146	4635	26895
147	4661	26836
148	4690	26788
149	4718	26738
150	4748	26697
151	4774	26635
152	4801	26581
153	4831	26539
154	4854	26467
155	4881	26412
156	4904	26335
157	4928	26264
158	4955	26211
159	4982	26156
160	5007	26095
161	5038	26061
162	5065	26011
163	5092	25959
164	5118	25904
165	5142	25835
166	5170	25788
167	5197	25741
168	5219	25662
169	5241	25593
170	5269	25547
171	5300	25518
172	5331	25484
173	5373	25509
174	5397	25445
175	5421	25382
176	5447	25330
177	5477	25294
178	5501	25231
179	5521	25155
180	5545	25090
181	5568	25029
182	5598	24996
183	5621	24929
184	5648	24884
185	5672	24826
186	5698	24774
187	5719	24702
188	5750	24673
189	5771	24605
190	5802	24579
191	5831	24539
192	5854	24480
193	5886	24455
194	5911	24404
195	5934	24341
196	5960	24294
197	5993	24277
198	6026	24259
199	6051	24205
200	6079	24166
201	6105	24119
202	6128	24060
203	6155	24019
204	6183	23981
205	6212	23944
206	6235	23888
207	6260	23839
208	6284	23786
209	6313	23750
210	6343	23718
211	6371	23682
212	6394	23627
213	6423	23593
214	6450	23550
215	6475	23503
216	6498	23447
217	6524	23404
218	6550	23361
219	6575	23312
220	6597	23256
221	6625	23219
222	6655	23188
223	6678	23135
224	6708	23108
225	6732	23058
226	6761	23026
227	6794	23004
228	6822	22969
229	6854	22947
230	6880	22906
231	6908	22868
232	6932	22820
233	6964	22799
234	6993	22765
235	7018	22720
236	7046	22684
237	7076	22656
238	7104	22620
239	7128	22572
240	7150	22519
241	7184	22504
242	7212	22469
243	7237	22424
244	7269	22403
245	7299	22373
246	7327	22339
247	7356	22305
248	7388	22282
249	7412	22236
250	7442	22208
251	7473	22184
252	7506	22162
253	7531	22120
254	7555	22072
255	7587	22049
256	7609	22000
257	7640	21974
258	7663	21926
259	7693	21897
260	7723	21868
261	7753	21840
262	7786	21819
263	7813	21782
264	7841	21748
265	7869	21715
266	7895	21676
267	7922	21639
268	7950	21606
269	7975	21563
270	8070	21709
271	8108	21703
272	8137	21669
273	8164	21632
274	8185	21580
275	8207	21528
276	8236	21498
277	8264	21463
278	8288	21419
279	8318	21390
280	8340	21340
281	8365	21300
282	8391	21260
283	8420	21229
284	8446	21189
285	8468	21140
286	8494	21102
287	8522	21069
288	8551	21037
289	8579	21003
290	8604	20963
291	8628	20920
292	8651	20874
293	8682	20849
294	8708	20811
295	8735	20777
296	8766	20750
297	8797	20725
298	8828	20698
299	8858	20668
300	8891	20647
301	8919	20615
302	8943	20573
303	8967	20531
304	8999	20507
305	9032	20485
306	9063	20459
307	9094	20432
308	9120	20395
309	9146	20357
310	9166	20308
311	9192	20269
312	9216	20229
313	9242	20191
314	9275	20171
315	9297	20123
316	9327	20097
317	9349	20051
318	9379	20024
319	9405	19987
320	9431	19950
321	9464	19928
322	9484	19879
323	9504	19831
